Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR4341900	2020-08-11 12:20:03	2020-12-29 05:59:48	23120576	6973352227	23120576	301	2174		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341900/ERR4341900.lite.1	ERX4286926		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806530	SAMEA7045893	simple	749906	gut metagenome	SAMEA7045893							no					UNIVERSITY OF TRENTO	ERA2771021		public	7CE7041437B0464DC1A6732DE5A78E1F	112FF62D439B523E2783E14AAAD4219A
ERR4341901	2020-08-11 12:20:03	2020-12-29 06:52:22	30143267	9095582344	30143267	301	2672		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341901/ERR4341901.lite.1	ERX4286927		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806531	SAMEA7045894	simple	749906	gut metagenome	SAMEA7045894							no					UNIVERSITY OF TRENTO	ERA2771021		public	82E1188AF3FD43ABC7FC60FCAC157CC6	7DE218422039D46C0EF55FB036A1C9A1
ERR4341902	2020-08-11 12:20:03	2020-12-29 09:22:15	38594501	11647573336	38594501	301	3526		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341902/ERR4341902.lite.1	ERX4286928		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806532	SAMEA7045895	simple	749906	gut metagenome	SAMEA7045895							no					UNIVERSITY OF TRENTO	ERA2771021		public	C898A156AA35DDC6A87C0D96E6127C89	6A8C8E6BAD3D1F3C340408E8F086D712
ERR4341903	2020-08-11 12:20:03	2020-12-29 08:01:45	27826483	8392089142	27826483	301	2646		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341903/ERR4341903.lite.1	ERX4286929		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806533	SAMEA7045896	simple	749906	gut metagenome	SAMEA7045896							no					UNIVERSITY OF TRENTO	ERA2771021		public	F04D43F294F9D46D72054C05AA3A21B4	0FA15677231495C74B203C11C2E202D1
ERR4341904	2020-08-11 12:20:03	2020-12-29 07:59:23	28340177	8539343338	28340177	301	2629		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341904/ERR4341904.lite.1	ERX4286930		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806534	SAMEA7045897	simple	749906	gut metagenome	SAMEA7045897							no					UNIVERSITY OF TRENTO	ERA2771021		public	D355EF16456ED3D0690764DD46AA8CEB	C6B63AA248A6FE515B199C0646B15CE7
ERR4341905	2020-08-11 12:20:03	2020-09-04 01:49:24	26747268	8070245704	26747268	301	2544		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341905/ERR4341905.lite.1	ERX4286931		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806535	SAMEA7045898	simple	749906	gut metagenome	SAMEA7045898							no					UNIVERSITY OF TRENTO	ERA2771021		public	B025EA53BB4F87F12FA95013A87AB3A3	8D7B024DBDE1343A7872196722DF3DE3
ERR4341906	2020-08-11 12:20:03	2020-12-29 07:27:41	26276505	7926129216	26276505	301	2403		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341906/ERR4341906.lite.1	ERX4286932		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806536	SAMEA7045899	simple	749906	gut metagenome	SAMEA7045899							no					UNIVERSITY OF TRENTO	ERA2771021		public	D53F414FBE12B1C1CBB7A3D26BE6E6C7	87C8B47FB3E29C2E277509A4AF95240F
ERR4341907	2020-08-11 12:20:03	2020-12-29 08:36:27	33349525	10061903796	33349525	301	3130		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341907/ERR4341907.lite.1	ERX4286933		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806537	SAMEA7045900	simple	749906	gut metagenome	SAMEA7045900							no					UNIVERSITY OF TRENTO	ERA2771021		public	2B618DECA16CF1A4E5F746BADD3D4ADC	546B089D3F8DFAC2A0C47FFA91D72762
ERR4341908	2020-08-11 12:20:03	2020-12-29 06:00:44	23510173	7093295346	23510173	301	2228		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341908/ERR4341908.lite.1	ERX4286934		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806538	SAMEA7045901	simple	749906	gut metagenome	SAMEA7045901							no					UNIVERSITY OF TRENTO	ERA2771021		public	AE55D26BC3C780553DCF1C7946EF5CBA	FD21C8F2EA62D228D7E68131338E762E
ERR4341909	2020-08-11 12:20:03	2020-12-29 05:03:34	18389509	5546890604	18389509	301	1737		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/ERR004/4341/ERR4341909/ERR4341909.lite.1	ERX4286935		WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP122716	PRJEB39223		656484	ERS4806539	SAMEA7045902	simple	749906	gut metagenome	SAMEA7045902							no					UNIVERSITY OF TRENTO	ERA2771021		public	5B924ECE97466D2BD6CF855FFBD5DCFF	BEC694F622B543FAAAA8BB18E4137562
