Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR525960	2015-06-02 13:47:07	2022-07-20 07:23:16	23267698	4641101620	23267698	199	2794		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR000/525/ERR525960/ERR525960.lite.2	ERX491195	GUTfirMNYDFAAPEI-3	WGS	other	METAGENOMIC	PAIRED	340	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473295	SAMEA2580177	simple	408170	human gut metagenome	SAMEA2580177							no					BGI	ERA315811		public	3E18D5FEC727FEE74E5441FE9C5417BC	D042999CD92691D5F829D1F6375C324B
ERR525963	2015-06-02 13:47:16	2022-07-31 23:57:34	22471550	4482520460	22471550	199	2694		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR000/525/ERR525963/ERR525963.lite.2	ERX491198	GUTfirMNZDFAAPEI-4	WGS	other	METAGENOMIC	PAIRED	339	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473298	SAMEA2580180	simple	408170	human gut metagenome	SAMEA2580180							no					BGI	ERA315811		public	9DFD0B43B86AE3BE03446A9CC87D7C1E	6A344A5A833867C061DCD3495C27FDF5
ERR525966	2015-06-02 13:47:16	2022-07-14 23:11:52	15787855	3150406550	15787855	199	1871		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR000/525/ERR525966/ERR525966.lite.2	ERX491201	INFdxqMOADFAAPEI-1	WGS	other	METAGENOMIC	PAIRED	339	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473301	SAMEA2580183	simple	408170	human gut metagenome	SAMEA2580183							no					BGI	ERA315811		public	11E6ED6AD4B868D4370B330A53A5D4E4	41FCE79650151210017273F2113A177B
ERR525968	2015-06-02 13:47:12	2022-07-21 02:40:48	24133660	4814972870	24133660	199	2862		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/ERR000/525/ERR525968/ERR525968.lite.2	ERX491203	GUTfirMOODFAAPEI-7	WGS	other	METAGENOMIC	PAIRED	339	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473303	SAMEA2580185	simple	408170	human gut metagenome	SAMEA2580185							no					BGI	ERA315811		public	170D508502B4694ED431A885C823CC26	56741136435293782B052643DF4F2228
ERR525970	2015-06-02 13:47:16	2022-07-20 07:27:53	26689400	5329560490	26689400	199	3107		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/ERR000/525/ERR525970/ERR525970.lite.2	ERX491205	GUTfirMOMDFAAPEI-5	WGS	other	METAGENOMIC	PAIRED	342	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473305	SAMEA2580187	simple	408170	human gut metagenome	SAMEA2580187							no					BGI	ERA315811		public	28476803DD3D05E8D2510212FBE072CD	A6C6D0BAD7301F5A5A92C87AB87DF171
ERR525971	2015-06-02 13:47:16	2022-07-22 22:12:09	21289222	4243728400	21289222	199	2565		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/ERR000/525/ERR525971/ERR525971.lite.2	ERX491206	GUTfirMOPDFAAPEI-8	WGS	other	METAGENOMIC	PAIRED	340	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473306	SAMEA2580188	simple	408170	human gut metagenome	SAMEA2580188							no					BGI	ERA315811		public	9FFAE5115318600C757E5E43B3CB2888	074637D33DB89EA2C50707C828FFB2BE
ERR525972	2015-06-02 13:47:16	2022-07-14 23:08:31	18985385	3788264100	0	199	2242		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR000/525/ERR525972/ERR525972.lite.2	ERX491207	GUTfirMOSDFAAPEI-11	WGS	other	METAGENOMIC	PAIRED	338	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473307	SAMEA2580189	simple	408170	human gut metagenome	SAMEA2580189							no					BGI	ERA315811		public	B4C09AA4D74AE67E8DD5D16987A7415E	788778DC737F791C18CD00667A66161D
ERR525978	2015-06-02 13:47:40	2022-07-22 07:25:40	685774	136915240	685774	199	72		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR000/525/ERR525978/ERR525978.lite.2	ERX491213	INFgtjMOUDFAAPEI-9	WGS	other	METAGENOMIC	PAIRED	331	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473313	SAMEA2580195	simple	408170	human gut metagenome	SAMEA2580195							no					BGI	ERA315811		public	FBDC73C2058A0FA3A1240DE60DFFA5E1	B00E92E001379EB877751281AB6D1764
ERR525982	2015-06-02 13:47:17	2022-07-20 07:27:12	22386151	4470493620	22386151	199	2532		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR000/525/ERR525982/ERR525982.lite.2	ERX491217	GUTfirMOYDFAAPEI-1	WGS	other	METAGENOMIC	PAIRED	336	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473317	SAMEA2580199	simple	408170	human gut metagenome	SAMEA2580199							no					BGI	ERA315811		public	FC2D60270AF2C0F8ECE24E86E6813C3A	7B640B8AA80662A31B9973A49462EE30
ERR525983	2015-06-02 13:47:17	2022-07-12 21:57:34	21866098	4359720570	21866098	199	2643		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR000/525/ERR525983/ERR525983.lite.2	ERX491218	GUTfirMPBDFAAPEI-4	WGS	other	METAGENOMIC	PAIRED	342	0	ILLUMINA	Illumina HiSeq 2000	ERP005989	PRJEB6456		285453	ERS473318	SAMEA2580200	simple	408170	human gut metagenome	SAMEA2580200							no					BGI	ERA315811		public	002955B808A5909A51019ED9A47202F6	EFDD2DBFAF2B2D68EA7DBE5177F6CBF7
