Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR1913261	2017-04-07 10:55:18	2017-04-14 13:33:52	1181554	92075348	0	77	91		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913261/ERR1913261.sralite.1	ERX1973838	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647279	SAMEA103958111	simple	408170	human gut metagenome	SAMEA103958111							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	2579B570C44FBD945B1BDABB154A9198	E714D9DE6D92508966BF975EFAB6C982
ERR1913262	2017-04-07 10:55:18	2017-04-14 13:33:58	1154252	89908668	0	77	89		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913262/ERR1913262.sralite.1	ERX1973839	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647279	SAMEA103958111	simple	408170	human gut metagenome	SAMEA103958111							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	0FC43271EB25DD5F32EAE8F2876F70D3	EE13954A19BF99665B312FDB5B5B7EC9
ERR1913263	2017-04-07 10:55:18	2017-04-14 13:34:03	1009404	79007268	0	78	78		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913263/ERR1913263.sralite.1	ERX1973840	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647279	SAMEA103958111	simple	408170	human gut metagenome	SAMEA103958111							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	0104A287B82570199487168524DB757F	5D16AF1A944EEA48574A2393368F11C2
ERR1913264	2017-04-07 10:55:18	2017-04-14 13:34:09	1127257	87901276	0	77	87		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913264/ERR1913264.sralite.1	ERX1973841	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647279	SAMEA103958111	simple	408170	human gut metagenome	SAMEA103958111							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	4B5ADF32A347BDBCA6F16F6AB2E120BA	E9114C974827C8DB5BFCA1BC7169EA1E
ERR1913280	2017-04-07 10:55:19	2017-04-14 13:35:23	958768	71345452	0	74	75		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913280/ERR1913280.sralite.1	ERX1973857	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647280	SAMEA103958112	simple	408170	human gut metagenome	SAMEA103958112							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	AB53606902C92BAACB907F367D39F173	B3246F16D0CE435335AF373039EFEF94
ERR1913281	2017-04-07 10:55:19	2017-04-14 13:35:24	1055903	78210236	0	74	83		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913281/ERR1913281.sralite.1	ERX1973858	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647280	SAMEA103958112	simple	408170	human gut metagenome	SAMEA103958112							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	FFDC1420FA024AAA444F7491C2761748	B422FB76F3D24A6D979FD660AFA8C456
ERR1913282	2017-04-07 10:55:19	2017-04-14 13:35:32	991385	71275027	0	71	75		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913282/ERR1913282.sralite.1	ERX1973859	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647280	SAMEA103958112	simple	408170	human gut metagenome	SAMEA103958112							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	023EF40D7B67C032D0D93636031753F1	7F195DF27FFE3BF13AF716780D2EDC20
ERR1913283	2017-04-07 10:55:19	2017-04-14 13:35:37	1011695	72370381	0	71	77		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913283/ERR1913283.sralite.1	ERX1973860	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647280	SAMEA103958112	simple	408170	human gut metagenome	SAMEA103958112							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	87C88E7B3D5F69A9602B439A7970244F	2D2F8B627E1005DC7F3409A277E98F76
ERR1913284	2017-04-07 10:55:19	2017-04-14 13:35:36	995122	75304871	0	75	77		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913284/ERR1913284.sralite.1	ERX1973861	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647283	SAMEA103958115	simple	408170	human gut metagenome	SAMEA103958115							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	924399ED3A9ACD30B11EBFDE8FDE4FFA	04FFC1BC5408B48904970D8D25626B61
ERR1913285	2017-04-07 10:55:19	2017-04-14 13:35:51	985640	74573504	0	75	77		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913285/ERR1913285.sralite.1	ERX1973862	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647283	SAMEA103958115	simple	408170	human gut metagenome	SAMEA103958115							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	EF934D8E5FD7B4AD043BFD6D2F7B8D10	58CC2E56479403FC08CFD03392052A6F
