Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR636349	2015-06-02 13:48:55	2015-06-03 00:34:01	73992049	13868148097	73992049	187	9897		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636349/ERR636349.sralite.1	ERX592908	2012_101	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554192	SAMEA2784448	simple	408170	human gut metagenome	SAMEA2784448							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	27718A4F203F2B31E91A52F33423141D	A34DA3CD613CA40C36E367A72F3359F2
ERR636351	2015-06-02 13:48:55	2015-06-02 16:59:34	56688930	11080623389	56688930	195	6881		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636351/ERR636351.sralite.1	ERX592910	2012_103	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554194	SAMEA2784450	simple	408170	human gut metagenome	SAMEA2784450							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	090083AAA0F2A9B21B39446ACC825302	8844D235A075F83C5BC6AE678F08E4F9
ERR636357	2015-06-02 13:48:56	2015-06-02 17:41:32	97424636	17894972941	97424636	183	11999		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636357/ERR636357.sralite.1	ERX592916	2012_107	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554200	SAMEA2784456	simple	408170	human gut metagenome	SAMEA2784456							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	E941804B44E411CE79E29D723043C58C	309B402B803EA439B393E577A4475281
ERR636360	2015-06-02 13:48:53	2015-06-02 17:04:27	75053057	14713733718	75053057	196	6149		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636360/ERR636360.sralite.1	ERX592919	2013_104	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554203	SAMEA2784459	simple	408170	human gut metagenome	SAMEA2784459							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	372BA15008E6108F3B5E009398FB2CC1	3FA155D964938C31F3B017931C278816
ERR636361	2015-06-02 13:48:53	2015-06-03 00:35:44	116985641	22538753705	116985641	192	9665		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636361/ERR636361.sralite.1	ERX592920	2013_105	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554204	SAMEA2784460	simple	408170	human gut metagenome	SAMEA2784460							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	99CDDD9F5A288133DCA4729938DA8913	6CFE912DF2B51759662508B88AC292D1
ERR636364	2015-06-02 13:48:56	2015-06-02 17:41:45	94520827	18458964312	94520827	195	7960		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636364/ERR636364.sralite.1	ERX592923	2013_108	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554207	SAMEA2784463	simple	408170	human gut metagenome	SAMEA2784463							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	D1928D6D92C0A977848B0518B8145FF4	7B64C54C52620955A3D36F634CC50686
ERR636365	2015-06-02 13:48:53	2015-06-03 02:28:25	86725925	15865857965	86725925	182	11522		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636365/ERR636365.sralite.1	ERX592924	2012_109	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554208	SAMEA2784464	simple	408170	human gut metagenome	SAMEA2784464							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	B66682659D8E1FA96BE4F2ECD3CB23AF	63A89F53BB44DFAF61A582767664A053
ERR636366	2015-06-02 13:48:54	2015-06-03 04:33:11	164171030	30288029383	164171030	184	20979		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636366/ERR636366.sralite.1	ERX592925	2012_110	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554209	SAMEA2784465	simple	408170	human gut metagenome	SAMEA2784465							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	B72E465762CE7F14E23C288AD90A638F	3F6083F97C122E9E50D8C56E99F6102F
ERR636367	2015-06-02 13:48:53	2015-06-04 05:01:48	120493836	23306622382	120493836	193	14637		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636367/ERR636367.sralite.1	ERX592926	2012_111	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554210	SAMEA2784466	simple	408170	human gut metagenome	SAMEA2784466							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	576A71B30041D54E51B5C0C0A1ED6653	DEDD782169587A5781940C290C0C59C6
ERR636368	2015-06-02 13:48:54	2015-06-02 17:30:51	92069410	18004323919	92069410	195	11303		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636368/ERR636368.sralite.1	ERX592927	2012_112	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554211	SAMEA2784467	simple	408170	human gut metagenome	SAMEA2784467							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	0C12F0FE15C76FD15852B73DBF0EA629	371838DE9E64E9D0EBCCB42811A5B4B4
ERR636369	2015-06-02 13:48:54	2015-06-03 03:14:05	91204324	17726349305	91204324	194	11201		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636369/ERR636369.sralite.1	ERX592928	2012_113	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554212	SAMEA2784468	simple	408170	human gut metagenome	SAMEA2784468							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	E3EC5548EDB900418ED40FCE8FB5B1C4	50D214258E2C451DB802ACC3EDFB313E
ERR636370	2015-06-02 13:48:54	2015-06-02 17:58:23	127715066	24693832848	127715066	193	15522		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636370/ERR636370.sralite.1	ERX592929	2012_114	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554213	SAMEA2784469	simple	408170	human gut metagenome	SAMEA2784469							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	16A0F70E77B75363B1074E95B6ABC8D8	F47F31240C4295B915AD03CB11BFB79D
ERR636371	2015-06-02 13:48:54	2015-06-03 02:53:25	94094185	18620590274	94094185	197	10585		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636371/ERR636371.sralite.1	ERX592930	2012_117	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554214	SAMEA2784470	simple	408170	human gut metagenome	SAMEA2784470							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	C64A4810A13DAE219EF477C84C4D60E7	9E172055AC6281C1912505DD60B64E96
