Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5665067	2017-06-10 10:23:16	2017-06-10 10:12:19	3082841	766953310	3062672	248	372	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665067.sralite.1	SRX2900749	Library_33	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267607	SAMN07211090	simple	749906	gut metagenome	MG100072	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	527A9367C244C051B7FD165A5C07934A	AB582EB19DD21B13E565E2828DDAA625
SRR5665068	2017-06-10 10:16:32	2017-06-10 10:11:29	1146835	284586793	1125899	248	138	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665068.sralite.1	SRX2900748	Library_36	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267608	SAMN07211093	simple	749906	gut metagenome	MG100075	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	C90672690C8ABFFAFEA4DEBEFD7D66E8	B0DD8781C309EA1A4845DCE1F71D3FD3
SRR5665066	2017-06-10 10:16:32	2017-06-10 10:11:47	2225584	552385092	2196981	248	269	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665066.sralite.1	SRX2900750	Library_34	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267609	SAMN07211091	simple	749906	gut metagenome	MG100073	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	406ECB4354A1ED7FA9C1F62823600771	302CF921DA01CFF888F10A364374B122
SRR5665065	2017-06-10 10:23:16	2017-06-10 10:12:12	3193900	792739543	3172745	248	388	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665065.sralite.1	SRX2900751	Library_31	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267610	SAMN07211088	simple	749906	gut metagenome	MG100070	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	60270C08F70F74313F1D3497F97E7164	923D25D0D7A093AE1C9FEE057BFFE623
SRR5665064	2017-06-10 10:23:16	2017-06-10 10:13:29	7870746	1936905683	7824893	246	989	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665064.sralite.1	SRX2900752	Library_32	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267611	SAMN07211089	simple	749906	gut metagenome	MG100071	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	2CAAF93EB70908401F247C7C4FDFC8AA	1DF8F0F82EBE9D392FAFABB6A119FED3
SRR5665063	2017-06-10 10:16:32	2017-06-10 10:12:04	3099922	771806245	3084056	248	391	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665063.sralite.1	SRX2900753	Library_39	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267612	SAMN07211096	simple	749906	gut metagenome	MG100078	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	6B5C2C29230E0DE269F87C8B2B8AC877	4FCDCE3C92280E40649DFE5319764112
SRR5665062	2017-06-10 10:23:16	2017-06-10 10:12:31	4465277	1111627749	4436036	248	588	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665062.sralite.1	SRX2900754	Library_40	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267613	SAMN07211097	simple	749906	gut metagenome	MG100079	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	93AE2AE17DF5648C789AB22B5AEC44CE	352E6B21F31480E7C1BE1DDDD5553AEF
SRR5665061	2017-06-10 10:16:32	2017-06-10 10:12:01	3074728	761565506	3052500	247	386	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665061.sralite.1	SRX2900755	Library_95	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267614	SAMN07211152	simple	749906	gut metagenome	MG100134	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	862897E6EB02B58A36D51BB6B1ACADC6	8754D352EB6D71E0548042AB95B4BE4C
SRR5665060	2017-06-10 10:16:32	2017-06-10 10:10:27	8743	1997524	7982	228	1	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665060.sralite.1	SRX2900756	Library_96	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267615	SAMN07211153	simple	749906	gut metagenome	MG100135	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	E3180D43803F877591CCE582554DD3D3	83F101F5AA40A447F441DD0E45D86D43
SRR5665059	2017-06-10 10:16:32	2017-06-10 10:11:43	3412961	847470236	3393667	248	423	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/665/SRR5665059.sralite.1	SRX2900757	Library_97	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP108915	PRJNA389927	NA	389927	SRS2267616	SAMN07211154	simple	749906	gut metagenome	MG100136	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MICHIGAN	SRA573379	NA	public	55F66B1C5E7761645DFDDCE76D6A74A6	0D1D272474637120A8EF96291F4E5B91
