study_name	run_accession	bioproject	bioproject_source	in_telemetry
ArtachoA_2021	SRR13436200			TRUE
ArtachoA_2021	SRR13436211			TRUE
ArtachoA_2021	SRR13436222			TRUE
ArtachoA_2021	SRR13436224			TRUE
ArtachoA_2021	SRR13436225			TRUE
ArtachoA_2021	SRR13436226			TRUE
ArtachoA_2021	SRR13436227			TRUE
ArtachoA_2021	SRR13436228			TRUE
ArtachoA_2021	SRR13436229			TRUE
ArtachoA_2021	SRR13436230			TRUE
ArtachoA_2021	SRR13436231			TRUE
ArtachoA_2021	SRR13436232			TRUE
ArtachoA_2021	SRR13436233			TRUE
ArtachoA_2021	SRR13436234			TRUE
ArtachoA_2021	SRR13436235			TRUE
ArtachoA_2021	SRR13436236			TRUE
ArtachoA_2021	SRR13436237			TRUE
ArtachoA_2021	SRR13436238			TRUE
ArtachoA_2021	SRR13436239			TRUE
ArtachoA_2021	SRR13436240			TRUE
ArtachoA_2021	SRR13436241			TRUE
ArtachoA_2021	SRR13436242			TRUE
ArtachoA_2021	SRR13436243			TRUE
ArtachoA_2021	SRR13436244			TRUE
ArtachoA_2021	SRR13436245			TRUE
ArtachoA_2021	SRR13436246			TRUE
ArtachoA_2021	SRR13436247			TRUE
ArtachoA_2021	SRR13436248			TRUE
ArtachoA_2021	SRR13436249			TRUE
ArtachoA_2021	SRR13436250			TRUE
ArtachoA_2021	SRR13436251			TRUE
ArtachoA_2021	SRR13436252			TRUE
ArtachoA_2021	SRR13436253			TRUE
ArtachoA_2021	SRR13436254			TRUE
ArtachoA_2021	SRR13436255			TRUE
ArtachoA_2021	SRR13436256			TRUE
ArtachoA_2021	SRR13436257			TRUE
ArtachoA_2021	SRR13436258			TRUE
ArtachoA_2021	SRR13436259			TRUE
ArtachoA_2021	SRR13436260			TRUE
ArtachoA_2021	SRR13436261			TRUE
ArtachoA_2021	SRR13436262			TRUE
ArtachoA_2021	SRR13436263			TRUE
ArtachoA_2021	SRR13436264			TRUE
ArtachoA_2021	SRR13436265			TRUE
ArtachoA_2021	SRR13436266			TRUE
ArtachoA_2021	SRR13436267			TRUE
ArtachoA_2021	SRR13436268			TRUE
ArtachoA_2021	SRR13436269			TRUE
ArtachoA_2021	SRR13436270			TRUE
ArtachoA_2021	SRR13436271			TRUE
ArtachoA_2021	SRR13436272			TRUE
ArtachoA_2021	SRR13436273			TRUE
ArtachoA_2021	SRR13436274			TRUE
ArtachoA_2021	SRR13436275			TRUE
ArtachoA_2021	SRR13436276			TRUE
ArtachoA_2021	SRR13436277			TRUE
ArtachoA_2021	SRR13436278			TRUE
ArtachoA_2021	SRR13436279			TRUE
ArtachoA_2021	SRR13436280			TRUE
ArtachoA_2021	SRR13436281			TRUE
ArtachoA_2021	SRR13436282			TRUE
ArtachoA_2021	SRR13436283			TRUE
ArtachoA_2021	SRR13436293			TRUE
ArtachoA_2021	SRR13436304			TRUE
ArtachoA_2021	SRR13436315			TRUE
ArtachoA_2021	SRR13436326			TRUE
ArtachoA_2021	SRR13436327			TRUE
ArtachoA_2021	SRR13436328			TRUE
AsnicarF_2017	SRR4052021	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052022	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052023	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052024	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052025	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052026	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052027	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052028	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052029	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052030	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052031	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052032	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052033	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052034	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052035	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052036	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052037	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052038	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052039	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052040	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052041	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052042	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052043	PRJNA339914	sra_meta	FALSE
AsnicarF_2017	SRR4052044	PRJNA339914	sra_meta	FALSE
AsnicarF_2021	ERR4330026	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330027	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330028	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330029	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330030	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330031	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330032	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330033	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330034	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330035	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330036	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330037	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330038	PRJEB39223	sra_meta	FALSE
AsnicarF_2021	ERR4330039	PRJEB39223	sra_meta	FALSE
