Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR3726335	2016-08-30 00:00:00	2016-06-28 14:39:24	1581495	498801458	1581495	315	215	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726335/SRR3726335.sralite.1	SRX1883237	S2_001_006W1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529644	SAMN05301464	simple	408170	human gut metagenome	S2_001_006W1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	521A40ED522183176E0D2FCD1004BF80	4FC323F4962981B42F1CC4E9903F487C
SRR3726336	2016-08-30 00:00:00	2016-06-28 14:44:52	9427491	2974838066	9427491	315	1271	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726336/SRR3726336.sralite.1	SRX1883238	S2_001_006Y1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529645	SAMN05301465	simple	408170	human gut metagenome	S2_001_006Y1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	70341539CA0BBB202C0811FE16DB16D2	4BA1E907C4C38A34E526DC9248DB527D
SRR3726338	2016-08-30 00:00:00	2016-06-28 14:45:22	11263966	3145672095	11263966	279	1912	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726338/SRR3726338.sralite.1	SRX1883240	S2_001_019G1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529646	SAMN05301475	simple	408170	human gut metagenome	S2_001_019G1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	399522CCBEAF58C7C445866FEA4AB9C3	CB71C192459F4D9683265F13CA999AF2
SRR3726339	2016-08-30 00:00:00	2016-06-28 14:47:22	13491434	3884169078	13491434	287	2170	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726339/SRR3726339.sralite.1	SRX1883241	S2_001_020G1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529647	SAMN05301476	simple	408170	human gut metagenome	S2_001_020G1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	FCB172CAB757F2860FDF5419C66EF689	1FB38F63AE6C58AE67E308563DEC845F
SRR3726337	2016-08-30 00:00:00	2016-06-28 14:45:59	13210970	3822636492	13210970	289	2137	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726337/SRR3726337.sralite.1	SRX1883239	S2_001_018G1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529648	SAMN05301474	simple	408170	human gut metagenome	S2_001_018G1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	82989AF98F44E491544B9D768FC99C71	DD475D500B20DA67650E5FE427194181
SRR3726342	2016-08-30 00:00:00	2016-06-28 14:44:27	9251920	2570888210	9251920	277	1568	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726342/SRR3726342.sralite.1	SRX1883242	S2_001_021G1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529649	SAMN05301477	simple	408170	human gut metagenome	S2_001_021G1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	7FD2314762C37CB6B5CD200A69B795AB	BC1BD4871F9DF4599A0DECF474957832
SRR3726343	2016-08-30 00:00:00	2016-06-28 14:44:51	10916345	3240003991	10916345	296	1565	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726343/SRR3726343.sralite.1	SRX1883243	S2_001_023G1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529650	SAMN05301478	simple	408170	human gut metagenome	S2_001_023G1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	615CD35DAD4D4AA2B1294223BAF70672	4A2B748C01DDBF416258A761176F9ED9
SRR3726344	2016-08-30 00:00:00	2016-06-28 14:44:00	6769711	2136336634	6769711	315	910	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726344/SRR3726344.sralite.1	SRX1883244	S2_001_023W1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529651	SAMN05301479	simple	539655	human skin metagenome	S2_001_023W1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	E339F4D088D0BD064F58292F2249B4CE	E02CD7F52B0D56A0C7A83795E62917AB
SRR3726345	2016-08-30 00:00:00	2016-06-28 14:43:45	5315628	1676146961	5315628	315	715	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726345/SRR3726345.sralite.1	SRX1883245	S2_001_023Y1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529652	SAMN05301480	simple	447426	human oral metagenome	S2_001_023Y1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	48AC287D42ACDA1B776CD648A1B0F0ED	455EDF534D177F6BEF3440A7966FA6F8
SRR3726346	2016-08-30 00:00:00	2016-06-28 14:46:40	10337722	2986424464	10337722	288	1613	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/726/SRR3726346/SRR3726346.sralite.1	SRX1883246	S2_001_024G1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP077514	PRJNA327106	3	327106	SRS1529653	SAMN05301481	simple	408170	human gut metagenome	S2_001_024G1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NONE	SRA436733	NA	public	F2E826575A45AEE68C24164C524EE3A5	F5D2185EADE2B5DD2A5DF54C2D2B86DF
