Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7658638	2018-08-08 08:39:14	2018-08-08 08:16:24	20098539	3918114360	18989444	194	1827	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/658/SRR7658638.sralite.1	SRX4520248	A81_01_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638616	SAMN09781729	simple	749906	gut metagenome	A81_01_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	FB03B0A1BED52EB2CB9E2B743E0503C1	56C2307803E1D1E93EF67F4DE051D089
SRR7658637	2018-08-08 08:39:14	2018-08-08 08:16:43	19416507	3811404257	18649073	196	1722	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/658/SRR7658637.sralite.1	SRX4520249	A39_02_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638618	SAMN09781728	simple	749906	gut metagenome	A39_02_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	590C304A1B038669797F4FA73CE808BE	C9BE4775E3FA701709EA7BDF0D57FFE6
SRR7658635	2018-08-08 08:39:14	2018-08-08 08:16:16	19118594	3714109027	18353882	194	1710	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/658/SRR7658635.sralite.1	SRX4520251	V19_02_2FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638619	SAMN09781726	simple	749906	gut metagenome	V19_02_2FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	9A6F7EA74E9A5825E91CD73EEDD9298E	1A159BAD04BD70E71BF99A8D64194EE3
SRR7658634	2018-08-08 08:33:12	2018-08-08 08:14:41	18749497	3629679794	17889615	193	1680	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/658/SRR7658634.sralite.1	SRX4520252	A42_02_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638620	SAMN09781725	simple	749906	gut metagenome	A42_02_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	22C9CC3BA852BC41285C8BA0A861542C	2DFC654AC358BE83C7ABDA241A6E96C8
SRR7658636	2018-08-08 08:33:12	2018-08-08 08:15:18	19279405	3777313466	18473587	195	1723	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/658/SRR7658636.sralite.1	SRX4520250	A41_01_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638621	SAMN09781727	simple	749906	gut metagenome	A41_01_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	37CE2225C938EFDDD2741B2318E974F4	9365EAB350D13FF7987A480B6210CD5F
SRR7658633	2018-08-08 08:39:14	2018-08-08 08:19:08	18499718	3610373445	17745245	195	1635	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/658/SRR7658633.sralite.1	SRX4520253	A19_01_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638622	SAMN09781724	simple	749906	gut metagenome	A19_01_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	2F06866E9F682D1988B3A993FAC29A0D	AE0EF6AA071F0AEC24B3822E5C1D30E2
SRR7658631	2018-08-08 08:24:11	2018-08-08 08:12:18	17408177	3401589035	16700319	195	1531	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/658/SRR7658631.sralite.1	SRX4520255	A40_02_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638623	SAMN09781722	simple	749906	gut metagenome	A40_02_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	DE462F7158F987321CFDB7A8ACE5F535	DD93E64821F749FFC368D802A1BFA12C
SRR7658632	2018-08-08 08:31:11	2018-08-08 08:19:36	17675992	3432724665	17034367	194	1587	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/658/SRR7658632.sralite.1	SRX4520254	A01_02_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638624	SAMN09781723	simple	749906	gut metagenome	A01_02_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	FF4E4296D93F307943E77B455DF2722D	E98CC78922CBFDB3835AEB0C5A457C58
SRR7658630	2018-08-08 08:33:12	2018-08-08 08:16:40	16565404	3247537314	15826184	196	1485	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/658/SRR7658630.sralite.1	SRX4520256	A85_01_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638625	SAMN09781721	simple	749906	gut metagenome	A85_01_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	483950C2980639EB764DCF2DF93B6670	3751434FA6CFAD0438012353A4C99EA4
SRR7658629	2018-08-08 08:29:10	2018-08-08 08:11:29	16405757	3212404723	15681772	195	1441	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR007/658/SRR7658629.sralite.1	SRX4520257	A72_02_1FE	WGS	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP156699	PRJNA485056	3	485056	SRS3638626	SAMN09781720	simple	749906	gut metagenome	A72_02_1FE	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF TRENTO	SRA755463	NA	public	077E80467EC54E9F5F2897B199AB8206	C9F795BFDEA4BD055F9C76520F35E8D7
