Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9108948	2020-03-24 01:55:30	2019-05-22 17:57:05	26779928	8033978400	26779928	300	3347	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/108/SRR9108948.sralite.1	SRX5883460	JAS 1	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805990	SAMN11418661	simple	408170	human gut metagenome	JAS 1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	41C300A6D52FFB0A25FE0389B55B04BF	18F34A3AF89BF6A48C47BD4DDD1FDE46
SRR9108972	2020-03-24 01:55:29	2019-05-22 17:58:27	26989289	8096786700	26989289	300	3349	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR009/108/SRR9108972.sralite.1	SRX5883436	JAS 10	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805966	SAMN11418670	simple	408170	human gut metagenome	JAS 10	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	81E77F7A7236730182AAF3E5EE02A9CE	04EB584E225C54036B3181FF19313DA8
SRR9108947	2020-03-24 01:55:30	2019-05-22 17:56:58	24242823	7272846900	24242823	300	3029	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR009/108/SRR9108947.sralite.1	SRX5883461	JAS 2	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805991	SAMN11418662	simple	408170	human gut metagenome	JAS 2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	87021B9AA32BB232F79DCD886003912B	DC5B1557F482A988708B35D2CDA2C11D
SRR9108946	2020-03-24 01:55:30	2019-05-22 17:59:31	26956757	8087027100	26956757	300	3370	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/108/SRR9108946.sralite.1	SRX5883462	JAS 3	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805992	SAMN11418663	simple	408170	human gut metagenome	JAS 3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	DA936CFB4468BD7A9D9A4D81111257CB	82301ABCB3061890466835AF79E416BE
SRR9108945	2020-03-24 01:55:30	2019-05-22 17:58:02	24208854	7262656200	24208854	300	3035	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/108/SRR9108945.sralite.1	SRX5883463	JAS 4	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805993	SAMN11418664	simple	408170	human gut metagenome	JAS 4	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	2E35A155C1DA87ADC7FB3BD37951D420	8AE0BBF653E70671A66F552A39D02842
SRR9108944	2020-03-24 01:55:30	2019-05-22 17:54:21	21210938	6363281400	21210938	300	2642	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/108/SRR9108944.sralite.1	SRX5883464	JAS 5	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805994	SAMN11418665	simple	408170	human gut metagenome	JAS 5	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	4EBD33719467D4B623EC0BEE4DDCD060	890F7CD0BF98287665BB5C1396C4EF10
SRR9108943	2020-03-24 01:55:30	2019-05-22 18:02:26	36314548	10894364400	36314548	300	4621	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/108/SRR9108943.sralite.1	SRX5883465	JAS 6	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805995	SAMN11418666	simple	408170	human gut metagenome	JAS 6	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	88DFE9FA03D94FE8384E70D2A050F625	39EFB38056D0A4D242179B3AC9310564
SRR9108952	2020-03-24 01:55:30	2019-05-22 17:58:05	23958990	7187697000	23958990	300	2999	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/108/SRR9108952.sralite.1	SRX5883456	JAS 7	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805986	SAMN11418667	simple	408170	human gut metagenome	JAS 7	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	98B0C4491AE38749C50AF5C85D1B9C52	937BFDA4E3826BA5453C2AFA3808070F
SRR9108951	2020-03-24 01:55:30	2019-05-22 17:58:28	21877657	6563297100	21877657	300	2733	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/108/SRR9108951.sralite.1	SRX5883457	JAS 8	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805987	SAMN11418668	simple	408170	human gut metagenome	JAS 8	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	F99EBCD98B719644F453311DF92559C9	14B0CE4187A69C0178F2D9E3586F631D
SRR9108971	2020-03-24 01:55:29	2019-05-22 17:56:50	22696634	6808990200	22696634	300	2837	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/108/SRR9108971.sralite.1	SRX5883437	JAS 9	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP199213	PRJNA531203	NA	531203	SRS4805967	SAMN11418669	simple	408170	human gut metagenome	JAS 9	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CSIR-INSTITUTE OF MICROBIAL TECHNOLOGY	SRA889485	NA	public	E5CE781EE1E42A1DDC27520FE9B0DFBD	7CF21E0E948BD8C8A71A9BDD352CFD2E
