Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR33047174	2025-04-09 12:05:00	2025-04-09 11:22:17	23969	14381400	23969	600	7	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047174/SRR33047174.lite.1	SRX28312491	HuSynCon-P-d1-1-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651551	SAMN47854855	simple	1235509	synthetic metagenome	HuSynCon-P-d1-1-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	DFBF9E59E8FFB2BFE9EA13ACFA8CF743	46014D92CDBA29053E0361A1F3B4C286
SRR33047173	2025-04-09 12:05:00	2025-04-09 11:21:58	16259	9755400	16259	600	5	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047173/SRR33047173.lite.1	SRX28312492	HuSynCon-P-d1-2-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651553	SAMN47854856	simple	1235509	synthetic metagenome	HuSynCon-P-d1-2-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	92BFF67A665BABED99AC9609DA7D5068	3DEE54A2AE4E5DF29519D8DA9DC0F9BB
SRR33047171	2025-04-09 12:05:00	2025-04-09 11:21:55	15845	9507000	15845	600	4	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047171/SRR33047171.lite.1	SRX28312494	HuSynCon-P-d4-3-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651554	SAMN47854866	simple	1235509	synthetic metagenome	HuSynCon-P-d4-3-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	6208B0BB357860B1FBEBB0EB0006D336	651CEA69FA5CC030976D9BEBEB2F6DCE
SRR33047172	2025-04-09 12:05:00	2025-04-09 11:22:13	28483	17089800	28483	600	8	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047172/SRR33047172.lite.1	SRX28312493	HuSynCon-P-d4-2-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651555	SAMN47854865	simple	1235509	synthetic metagenome	HuSynCon-P-d4-2-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	52C3C0DF61CDDC9CC2FA813F9C8E6E43	F08C16D031B4E03EBC119124D5001447
SRR33047170	2025-04-09 12:05:00	2025-04-09 11:21:58	26658	15994800	26658	600	8	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047170/SRR33047170.lite.1	SRX28312495	HuSynCon-P-d5-1-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651556	SAMN47854867	simple	1235509	synthetic metagenome	HuSynCon-P-d5-1-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	8939433559F91EC39346B8BF2BF05A93	3B63199C339F456EBFC7351921ED80E3
SRR33047169	2025-04-09 12:05:00	2025-04-09 11:22:13	29418	17650800	29418	600	8	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047169/SRR33047169.lite.1	SRX28312496	HuSynCon-P-d5-2-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651557	SAMN47854868	simple	1235509	synthetic metagenome	HuSynCon-P-d5-2-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	2E8EC995E81BC2CF0AD28D420FB5883D	51866C05E0AE8493B48C6B586D8D56AA
SRR33047168	2025-04-09 12:05:00	2025-04-09 11:22:10	20481	12288600	20481	600	6	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047168/SRR33047168.lite.1	SRX28312497	HuSynCon-P-d5-3-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651558	SAMN47854869	simple	1235509	synthetic metagenome	HuSynCon-P-d5-3-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	FEEDF9778FAFD07AD22357A940B5218C	C105D0A69E16250C10D9E142345CF7DB
SRR33047167	2025-04-09 12:05:00	2025-04-09 11:22:02	34793	20875800	34793	600	10	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047167/SRR33047167.lite.1	SRX28312498	HuSynCon-P-Pre-1-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651559	SAMN47854870	simple	1235509	synthetic metagenome	HuSynCon-P-Pre-1-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	735C9173DAE0388D04E2C1543EF561A5	76C5955F3E918FE76B9A8BABBB066FCC
SRR33047166	2025-04-09 12:05:00	2025-04-09 11:22:02	59746	35847600	59746	600	18	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047166/SRR33047166.lite.1	SRX28312499	HuSynCon-P-Pre-2-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651560	SAMN47854871	simple	1235509	synthetic metagenome	HuSynCon-P-Pre-2-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	0DDE7E6F9C6F70DF663C2A9CC2F26798	01DDAABA9892CCAF5321480392691C4F
SRR33047165	2025-04-09 12:05:01	2025-04-09 11:22:02	40817	24490200	40817	600	12	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33047/SRR33047165/SRR33047165.lite.1	SRX28312500	HuSynCon-P-Pre-3-P	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP577467	PRJNA1248391	NA	1248391	SRS24651561	SAMN47854872	simple	1235509	synthetic metagenome	HuSynCon-P-Pre-3-P	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIKLINIK RWTH AACHEN	SRA2108996	NA	public	E70C80592F18B25E23171A1E0B1215AF	C9AB7B4363ACFD80C50D44B0740072EE
