Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR719404	2015-06-18 18:18:16	2015-03-09 18:35:11	4000000	808000000	4000000	202	511	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719404/ERR719404.sralite.1	ERX663326	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	96E9E60A3533C65A9E4A69A4176E46B6	989B22F61658D5B73F446746AAB9C61E
ERR719406	2015-06-18 18:18:16	2015-03-09 18:35:04	4000000	808000000	4000000	202	500	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719406/ERR719406.sralite.1	ERX663328	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	3762CD1AC1D5602FCF8368CD5AEF6C76	E43298BA2AA97801446BC9AEF91B0CFF
ERR719408	2015-06-18 18:18:16	2015-03-09 18:34:39	4000000	808000000	4000000	202	494	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719408/ERR719408.sralite.1	ERX663330	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	0750955F12053BFED4678FA521F7DCF2	E0C264792617063B61E21FDC2E391A14
ERR719410	2015-06-18 18:18:16	2015-03-09 18:35:03	4000000	808000000	4000000	202	506	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719410/ERR719410.sralite.1	ERX663332	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	066329C38538C7233F79A4F8ACF63C49	1C6C1A5C8903F4EC3B8CD9E2C0D7213E
ERR719407	2015-06-18 18:18:16	2015-03-09 18:35:03	4000000	808000000	4000000	202	512	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719407/ERR719407.sralite.1	ERX663329	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	BC64416C9680C84ECCA5F3B5477DFE5A	BDF2AD2505D3450BFBE482B2766EBB73
ERR719411	2015-06-18 18:18:16	2015-03-09 18:34:36	4000000	808000000	4000000	202	503	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719411/ERR719411.sralite.1	ERX663333	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	53B8DAE0BD131012A5B377817AEF703E	FC09A95C08228DBF08A327FBCF7D114C
ERR719413	2015-06-18 18:18:16	2015-03-09 18:33:41	4000000	808000000	4000000	202	495	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719413/ERR719413.sralite.1	ERX663335	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	5E58F815615F8D5C8B554D5A266BD797	6B87C341A8577BB1A0468EF904C02E5C
ERR719414	2015-06-18 18:18:16	2015-03-09 18:33:41	4000000	808000000	4000000	202	492	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719414/ERR719414.sralite.1	ERX663336	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	FBFD752C11B68309A21EFFAD00FCE595	5BF2D776135E697D3FDBE61D352CB691
ERR719401	2015-06-18 18:18:16	2015-03-09 18:35:34	4000000	808000000	4000000	202	513	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719401/ERR719401.sralite.1	ERX663323	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	A8F9FFA96F4E9A5831C6674468C6BD5C	627FBF615213A4F031265AD69F596DAB
ERR719403	2015-06-18 18:18:16	2015-03-09 18:35:11	4000000	808000000	4000000	202	504	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/719/ERR719403/ERR719403.sralite.1	ERX663325	Sample_P1J0	WGS	RANDOM	METAGENOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 1000	ERP009131	PRJEB8094	NA	277449	ERS634920	SAMEA3182058	simple	749906	gut metagenome	SAMEA3182058	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ULB	ERA398638	NA	public	F65A46AAF7B020E0E9FCDE644247F451	209E714749518CCB1FC2BA8EF5A87C53
