Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5575614	2018-11-01 00:08:36	2017-05-18 13:14:03	114	35672	114	312	0	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575614.sralite.1	SRX2833907	Ctrl1_18S	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP107323	PRJNA379120	NA	379120	SRS2208318	SAMN06909433	simple	408170	human gut metagenome	Ctrl_1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	81365799BAD06211AA120FD74143381B	52D2200B3FE5AC59471211D543CF8881
SRR5575617	2018-11-01 00:08:36	2017-05-18 13:14:06	1982	1006317	1982	507	0	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575617.sralite.1	SRX2833904	Ctrl2_18S	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP107323	PRJNA379120	NA	379120	SRS2208331	SAMN06909434	simple	408170	human gut metagenome	Ctrl_2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	32CD4B3F140D2B851095DEC6402B1917	A11FC2D1AC4D736F7841363B6F91C5A5
SRR5575584	2018-11-01 00:08:37	2017-05-18 13:14:11	26891	15679902	26891	583	9	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575584.sralite.1	SRX2833936	Ctrl2_16S	AMPLICON	PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP107323	PRJNA379120	NA	379120	SRS2208331	SAMN06909434	simple	408170	human gut metagenome	Ctrl_2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	84A62856CF90EEC4F8FC6931A5C0BD57	D25880FD7E9166866FA326D4F94ACADF
SRR5575601	2018-11-01 00:08:37	2017-05-18 13:11:24	958362	281171946	952626	293	144	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575601.sralite.1	SRX2833920	MV_C101_MG	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP107323	PRJNA379120	NA	379120	SRS2208319	SAMN06972318	simple	1632839	human vaginal metagenome	MV_C101	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	2B8559A7BA331A0AA89DA3633E0AD47E	C8380C488CB1132BB13DB28C37B3A888
SRR5575603	2018-11-01 00:08:37	2017-05-18 13:11:06	963212	282103207	955016	292	145	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575603.sralite.1	SRX2833918	MV_C112_MG	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP107323	PRJNA379120	NA	379120	SRS2208251	SAMN06972316	simple	1632839	human vaginal metagenome	MV_C112	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	1D29006D44ECBF1A87E7EB23369D046B	AFCF0F8FA8303E4ACCCFF821FD6623A8
SRR5575608	2018-11-01 00:08:36	2017-05-18 13:11:18	231826	65656056	228516	283	34	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575608.sralite.1	SRX2833913	MV_C113_MG	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP107323	PRJNA379120	NA	379120	SRS2208320	SAMN06972319	simple	1632839	human vaginal metagenome	MV_C113	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	A0E1377092B90B7DA8033A85F4C639C5	348443C477EC1CF8705CC0589032DD80
SRR5575607	2018-11-01 00:08:37	2017-05-18 13:11:21	378147	109780971	375380	290	56	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575607.sralite.1	SRX2833914	MV_C114_MG	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP107323	PRJNA379120	NA	379120	SRS2208308	SAMN06972320	simple	1632839	human vaginal metagenome	MV_C114	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	BE0B6A86E553DC1CF21376921FCDDAF3	013EB72495AF4B0B83045C6762E10DFF
SRR5575602	2018-11-01 00:08:37	2017-05-18 13:10:44	143373	37130642	140404	258	21	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575602.sralite.1	SRX2833919	MV_C115_MG	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP107323	PRJNA379120	NA	379120	SRS2208252	SAMN06972317	simple	1632839	human vaginal metagenome	MV_C115	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	150F021727E5925F7181E62574FEA2DF	D944F9145D0ED5627D1618E58D13C737
SRR5575604	2018-11-01 00:08:37	2017-05-18 13:11:09	470846	137112631	467719	291	69	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/575/SRR5575604.sralite.1	SRX2833917	MV_C120_MG	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP107323	PRJNA379120	NA	379120	SRS2208321	SAMN06972315	simple	1632839	human vaginal metagenome	MV_C120	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA562520	NA	public	BF0F3DD741E49D0A953C48AC2F6E7AAA	027C440D0170464F33464F71E8B48B62
SRR7716248	2019-01-01 00:20:00	2018-08-18 06:52:02	1213814	186780926	1205707	153	98	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/716/SRR7716248/SRR7716248.sralite.1	SRX4573352	MV_C109_MG	WGS	RANDOM	METAGENOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP107323	PRJNA379120	NA	379120	SRS2208247	SAMN06972324	simple	1632839	human vaginal metagenome	MVa_C109	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	LUXEMBOURG CENTRE FOR SYSTEMS BIOMEDICINE	SRA760579	NA	public	E7FC0E4876D03829BF5E40D1BC457D3F	62F04CE0B30EA75549F023D3D5CF7FE1
