"Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"SRR5983469","2017-08-28 10:32:03","2017-08-28 10:12:24",16865637,3335006024,16864331,197,2199,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983469.sralite.1","SRX3139456","G80037_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472292","SAMN07424369","simple",408170,"human gut metagenome","G80037",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","97ADA78651FAF99E441248D6FB0BD5E6","8A1A64B70107C23FE9783D1528B7A094"
"SRR5983468","2017-08-28 10:35:02","2017-08-28 10:11:40",15683394,3053271891,15664391,194,2151,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983468.sralite.1","SRX3139457","G80038_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472293","SAMN07424370","simple",408170,"human gut metagenome","G80038",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","37145FD5E1E4417188D9DA29FABCE59A","2A14661CF00578E69D2289BF22E65165"
"SRR5983471","2017-08-28 10:33:18","2017-08-28 10:11:25",17641526,3438110437,17610499,194,2407,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983471.sralite.1","SRX3139454","G80040_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472290","SAMN07424371","simple",408170,"human gut metagenome","G80040",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","9CFD17D8EEF02878FBFC8E903BC9A0E9","0D201DCFD848D5CC655EA2FAC85A4B3B"
"SRR5983470","2017-08-28 10:18:11","2017-08-28 10:06:09",3723450,722601178,3718178,194,510,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983470.sralite.1","SRX3139455","G80042_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472291","SAMN07424372","simple",408170,"human gut metagenome","G80042",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","4E1435F26B9906714E850FD2CC52B95C","2420BBC943BC29256E5CA259702F90BF"
"SRR5983465","2017-08-28 10:21:10","2017-08-28 10:05:53",5498877,1072997970,5498646,195,707,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983465.sralite.1","SRX3139460","G80051_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472296","SAMN07424373","simple",408170,"human gut metagenome","G80051",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","7E7D461093419C0A3AE49AF9D441022F","58A4FE0B0E8E881E4E01B731E7C5C164"
"SRR5983464","2017-08-28 10:28:11","2017-08-28 10:08:08",11005231,2129728118,10997414,193,1516,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983464.sralite.1","SRX3139461","G80059_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472297","SAMN07424374","simple",408170,"human gut metagenome","G80059",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","67247B82A3F1D8C6BE69594C74539153","BC482BD8022481711A79FAF70BC3BD35"
"SRR5983467","2017-08-28 10:22:10","2017-08-28 10:06:36",5820097,1122555072,5816851,192,806,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983467.sralite.1","SRX3139458","G80060_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472294","SAMN07424375","simple",408170,"human gut metagenome","G80060",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","C12280FD5313833D7B7DD485F28C5234","D5BF843E00AA7E6C36141AC1FFBB875E"
"SRR5983466","2017-08-28 10:30:22","2017-08-28 10:08:32",11649087,2298495291,11648051,197,1496,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983466.sralite.1","SRX3139459","G80062_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472295","SAMN07424376","simple",408170,"human gut metagenome","G80062",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","304BA24A424EA31572FFDE6EB9F2977C","EC4371F28DFF18933182D3B0A9053B25"
"SRR5983463","2017-08-28 10:36:37","2017-08-28 10:13:33",23052039,4492584405,23021048,194,3160,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983463.sralite.1","SRX3139462","G80069_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472298","SAMN07424377","simple",408170,"human gut metagenome","G80069",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","7629B1C2C9453078052B30FEC02B25D5","D9B579983EFF5FCCD4B18BE4CC279C0F"
"SRR5983462","2017-08-28 10:27:11","2017-08-28 10:07:52",9827329,1935819995,9826580,196,1288,NA,"https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/983/SRR5983462.sralite.1","SRX3139463","G80070_MGX","WGS","RANDOM","METAGENOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP115812","PRJNA389280",NA,389280,"SRS2472299","SAMN07424378","simple",408170,"human gut metagenome","G80070",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH","SRA603228",NA,"public","0296BDA9311CF4A8EA34A105AFC699D2","BE44C02E6E4CBE05F95554EE33BDE4B5"
